,순번,구분,타입,계약면적(㎡),전용면적(㎡),대지면적(㎡),매매가,보증금 (단위: 만원),월세(단위:만원),주소,기타(세부주소)
254,255,명지동,월세,186.93,186.93,-,-,1000,250,부산시 강서구 명지동 일반상가,일반상가1층
255,256,명지동,월세,327.29,144.68,-,-,4000,250,부산시 강서구 명지동 대형사무실1,대형사무실19층
256,257,명지동,월세,170,122,-,-,2000,180,부산시 강서구 명지동 일반상가 네오웨스턴상가,일반상가 네오웨스턴상가2층
257,258,명지동,월세,327.29,144.68,-,-,4000,250,부산시 강서구 명지동 대형사무실1,대형사무실19층
258,259,명지동,월세,287,167.9,-,-,2000,80,부산시 강서구 명지동 일반상가 플러스타워1,일반상가 플러스타워11층
259,260,명지동,월세,357.64,157.95,-,-,3000,220,부산시 강서구 명지동 중소형사무실1,중소형사무실12층
260,261,명지동,월세,235.75,140.13,-,-,1000,70,부산시 강서구 명지동 일반상가 플러스존2,일반상가 플러스존26층
261,262,명지동,월세,463.8,250.16,-,-,7000,300,부산시 강서구 명지동 일반상가,일반상가3층
262,263,명지동,월세,165.02,165.02,-,-,3000,300,부산시 강서구 명지동 일반상가,일반상가1층
263,264,명지동,월세,175.17,140,-,-,2000,170,부산시 강서구 명지동 일반상가,일반상가2층
264,265,명지동,월세,250,131,-,-,2000,80,부산시 강서구 명지동 일반상가 네오웨스턴스퀘어,일반상가 네오웨스턴스퀘어3층
265,266,명지동,월세,317.25,188.57,-,-,3000,100,부산시 강서구 명지동 일반상가,일반상가4층
266,267,명지동,월세,191.82,49.58,-,-,300,68,부산시 강서구 명지동 일반상가,일반상가5층
267,268,명지동,월세,174,105,-,-,2000,110,부산시 강서구 명지동 일반상가,일반상가4층
268,269,명지동,월세,233.25,122.4,-,-,2000,100,부산시 강서구 명지동 일반상가,일반상가2층
269,270,명지동,월세,200,140,-,-,3000,150,부산시 강서구 명지동 일반상가,일반상가3층
270,271,명지동,월세,165,103,-,-,2000,70,부산시 강서구 명지동 일반상가 대산골든스퀘어1,일반상가 대산골든스퀘어10층
271,272,명지동,월세,287.6,167.96,-,-,2000,90,부산시 강서구 명지동 일반상가1,일반상가10층
272,273,명지동,월세,233.25,122.4,-,-,2000,100,부산시 강서구 명지동 일반상가 네오웨스턴스퀘어,일반상가 네오웨스턴스퀘어2층
273,274,명지동,월세,348.16,190.32,-,-,2000,250,부산시 강서구 명지동 일반상가,일반상가2층
274,275,명지동,월세,214.7,124.7,-,-,2000,100,부산시 강서구 명지동 일반상가,일반상가7층
275,276,명지동,월세,200,137,-,-,3000,150,부산시 강서구 명지동 복합상가,복합상가2층
276,277,명지동,월세,181.07,104.4,-,-,2000,90,부산시 강서구 명지동 일반상가,일반상가2층
277,278,명지동,월세,174.12,105,-,-,2000,120,부산시 강서구 명지동 일반상가,일반상가4층
278,279,명지동,월세,287.6,167.96,-,-,2000,100,부산시 강서구 명지동 일반상가,일반상가7층
279,280,명지동,월세,174.12,105,-,-,1000,70,부산시 강서구 명지동 일반상가1,일반상가10층
280,281,명지동,월세,189.74,152.82,-,-,2000,60,부산시 강서구 명지동 일반상가,일반상가6층
281,282,명지동,월세,211,111,-,-,1000,80,부산시 강서구 명지동 일반상가 네오웨스턴스퀘어,일반상가 네오웨스턴스퀘어3층
282,283,명지동,월세,214,119.6,-,-,2000,70,부산시 강서구 명지동 일반상가 플러스시티,일반상가 플러스시티6층
283,284,명지동,월세,174,105,-,-,1000,70,부산시 강서구 명지동 일반상가 에코팰리스1,일반상가 에코팰리스10층
284,285,명지동,월세,181.07,95.02,-,-,1000,60,부산시 강서구 명지동 일반상가,일반상가2층
