,순번,구분,타입,계약면적(㎡),전용면적(㎡),대지면적(㎡),매매가,보증금 (단위: 만원),월세(단위:만원),주소,기타(세부주소)
659,660,명지동,매매,-,-,4442,"13억 5,000",-,-,부산시 강서구 명지동 전,전
660,661,명지동,매매,312.6,182.2,-,"6억 5,000",-,-,부산시 강서구 명지동 일반상가,일반상가4층
661,662,명지동,매매,-,-,282.9,"7억 3,000",-,-,부산시 강서구 명지동,대
662,663,명지동,매매,-,-,255.3,"7억 3,500",-,-,부산시 강서구 명지동,대
663,664,명지동,매매,-,-,280,"7억 6,000",-,-,부산시 강서구 명지동,대
664,665,명지동,매매,244.9,142.7,-,5억,-,-,부산시 강서구 명지동 일반상가 티에스스퀘어,일반상가 티에스스퀘어5층
665,666,명지동,매매,448,261,-,"7억 5,000",-,-,부산시 강서구 명지동 중소형사무실,중소형사무실2층
666,667,명지동,매매,-,-,198.9,"5억 4,000",-,-,부산시 강서구 명지동,대
667,668,명지동,매매,-,-,803,57억,-,-,부산시 강서구 명지동,대
668,669,명지동,매매,-,-,344,"10억 5,000",-,-,부산시 강서구 명지동,대
669,670,명지동,매매,-,-,2222,57억,-,-,부산시 강서구 명지동,대
670,671,명지동,매매,-,-,246,"7억 2,000",-,-,부산시 강서구 명지동,대
671,672,명지동,매매,201.87,151.2,-,"3억 5,000",-,-,부산시 강서구 명지동 중소형사무실,중소형사무실6층
672,673,명지동,매매,-,-,358,"9억 4,000",-,-,부산시 강서구 명지동,대
673,674,명지동,매매,1486,1486,-,34억,-,-,부산시 강서구 명지동 일반상가,일반상가3층
674,675,명지동,매매,-,-,706,19억,-,-,부산시 강서구 명지동 주차장,주차장
675,676,명지동,매매,-,-,276,"7억 7,000",-,-,부산시 강서구 명지동,대
676,677,명지동,매매,408.27,246.86,-,9억,-,-,부산시 강서구 명지동 일반상가,일반상가9층
677,678,명지동,매매,-,-,938.5,60억,-,-,부산시 강서구 명지동,대
678,679,명지동,매매,-,-,718.6,40억,-,-,부산시 강서구 명지동,대
679,680,명지동,매매,-,-,1364.8,100억,-,-,부산시 강서구 명지동,대
680,681,명지동,매매,-,-,1364.8,100억,-,-,부산시 강서구 명지동,대
681,682,명지동,매매,303.86,134.2,-,"4억 2,300",-,-,부산시 강서구 명지동 중소형사무실1,중소형사무실11층
682,683,명지동,매매,-,-,706.3,19억,-,-,부산시 강서구 명지동 주차장,주차장
683,684,명지동,매매,301.99,133.37,-,"4억 2,000",-,-,부산시 강서구 명지동 중소형사무실1,중소형사무실12층
684,685,명지동,매매,314,197,-,6억,-,-,부산시 강서구 명지동 일반상가,일반상가8층
685,686,명지동,매매,909.9,900,-,35억,-,-,부산시 강서구 명지동 일반상가,일반상가4층
686,687,명지동,매매,-,-,2222,60억,-,-,부산시 강서구 명지동,대
687,688,명지동,매매,-,-,706.3,19억,-,-,부산시 강서구 명지동 주차장,주차장
688,689,명지동,매매,-,-,661,24억,-,-,부산시 강서구 명지동,대
689,690,명지동,매매,186.24,110.7,-,"3억 8,000",-,-,부산시 강서구 명지동 일반상가,일반상가2층
690,691,명지동,매매,-,-,956,42억,-,-,부산시 강서구 명지동,대
691,692,명지동,매매,209.8,121,-,2억,-,-,부산시 강서구 명지동 일반상가,일반상가3층
692,693,명지동,매매,165,104,-,"3억 1,500",-,-,부산시 강서구 명지동 일반상가,일반상가8층
693,694,명지동,매매,-,-,956,42억,-,-,부산시 강서구 명지동,대
694,695,명지동,매매,-,-,260,"6억 6,000",-,-,부산시 강서구 명지동,대
695,696,명지동,매매,2676.9,57,-,"7억 7,000",-,-,부산시 강서구 명지동 복합상가,복합상가1층
696,697,명지동,매매,-,-,270,9억,-,-,부산시 강서구 명지동,대
697,698,명지동,매매,-,-,455.4,30억,-,-,부산시 강서구 명지동,대
698,699,명지동,매매,250,156,-,"4억 3,000",-,-,부산시 강서구 명지동 일반상가,일반상가5층
699,700,명지동,매매,-,-,1289,70억,-,-,부산시 강서구 명지동,대
700,701,명지동,매매,-,-,3963.7,270억,-,-,부산시 강서구 명지동,대
701,702,명지동,매매,257,155,-,"4억 5,000",-,-,부산시 강서구 명지동 복합상가,복합상가6층
702,703,명지동,매매,-,-,803.5,48억,-,-,부산시 강서구 명지동,대
703,704,명지동,매매,-,-,3963.7,270억,-,-,부산시 강서구 명지동,대
704,705,명지동,매매,-,-,467,24억,-,-,부산시 강서구 명지동,대
705,706,명지동,매매,-,-,1632,92억,-,-,부산시 강서구 명지동,대
706,707,명지동,매매,176.69,100.04,-,"2억 4,000",-,-,부산시 강서구 명지동 일반상가,일반상가5층
707,708,명지동,매매,197,111.54,-,"2억 3,000",-,-,부산시 강서구 명지동 일반상가,일반상가6층
708,709,명지동,매매,275,171,-,"4억 1,000",-,-,부산시 강서구 명지동 일반상가 지봉빌딩1,일반상가 지봉빌딩14층
709,710,명지동,매매,176.69,100.04,-,"2억 2,000",-,-,부산시 강서구 명지동 일반상가,일반상가6층
710,711,명지동,매매,281,198,-,6억,-,-,부산시 강서구 명지동 일반상가,일반상가5층
711,712,명지동,매매,315.45,167.37,-,"3억 8,500",-,-,부산시 강서구 명지동 일반상가 세정프라자,일반상가 세정프라자4층
712,713,명지동,매매,349.92,175.17,-,"3억 3,000",-,-,부산시 강서구 명지동 일반상가 명지청산오션타워,일반상가 명지청산오션타워2층
713,714,명지동,매매,-,-,241,8억,-,-,부산시 강서구 명지동,대
714,715,명지동,매매,-,-,1365,100억,-,-,부산시 강서구 명지동,대
715,716,명지동,매매,-,-,2011,"38억 5,000",-,-,부산시 강서구 명지동 전,전
716,717,명지동,매매,-,-,1589.3,97억,-,-,부산시 강서구 명지동,대
717,718,명지동,매매,247.94,155.37,-,"4억 3,000",-,-,부산시 강서구 명지동 일반상가,일반상가5층
718,719,명지동,매매,789.38,470.88,-,10억,-,-,부산시 강서구 명지동 일반상가,일반상가9층
719,720,명지동,매매,229,138,-,"4억 5,000",-,-,부산시 강서구 명지동 일반상가,일반상가2층
720,721,명지동,매매,264.46,152.07,-,"4억 5,000",-,-,부산시 강서구 명지동 일반상가,일반상가2층
721,722,명지동,매매,250,131,-,3억,-,-,부산시 강서구 명지동 일반상가 네오웨스턴스퀘어,일반상가 네오웨스턴스퀘어3층
722,723,명지동,매매,-,-,699,34억,-,-,부산시 강서구 명지동,대
723,724,명지동,매매,2019.62,1126.11,-,26억,-,-,부산시 강서구 명지동 복합상가,복합상가6층
724,725,명지동,매매,250,136,-,"5억 2,000",-,-,부산시 강서구 명지동 일반상가,일반상가2층
725,726,명지동,매매,230,151,-,"4억 4,000",-,-,부산시 강서구 명지동 일반상가,일반상가4층
726,727,명지동,매매,-,-,253,"9억 5,000",-,-,부산시 강서구 명지동,대
727,728,명지동,매매,-,-,276.7,"7억 5,000",-,-,부산시 강서구 명지동,대
728,729,명지동,매매,-,-,198,6억,-,-,부산시 강서구 명지동,대
729,730,명지동,매매,233.09,131.32,-,"4억 8,000",-,-,부산시 강서구 명지동 일반상가,일반상가4층
730,731,명지동,매매,-,-,2827,300억,-,-,부산시 강서구 명지동,대
731,732,명지동,매매,-,-,358,"9억 2,000",-,-,부산시 강서구 명지동,대
732,733,명지동,매매,214,132,-,"4억 5,000",-,-,부산시 강서구 명지동 일반상가,일반상가3층
733,734,명지동,매매,-,-,1632,92억,-,-,부산시 강서구 명지동,대
734,735,명지동,매매,197,111.54,-,"2억 8,000",-,-,부산시 강서구 명지동 일반상가 더프라임,일반상가 더프라임7층
735,736,명지동,매매,-,-,358,"9억 2,000",-,-,부산시 강서구 명지동,대
736,737,명지동,매매,-,-,956,42억,-,-,부산시 강서구 명지동,대
737,738,명지동,매매,-,-,1589.3,97억,-,-,부산시 강서구 명지동,대
738,739,명지동,매매,323.97,178.51,-,10억,-,-,부산시 강서구 명지동 일반상가,일반상가2층
739,740,명지동,매매,-,-,198,6억,-,-,부산시 강서구 명지동,대
740,741,명지동,매매,174,105,-,2억 500,-,-,부산시 강서구 명지동 일반상가,일반상가8층
741,742,명지동,매매,262,151,-,"3억 5,000",-,-,부산시 강서구 명지동 일반상가,일반상가6층
742,743,명지동,매매,462,287,-,"6억 8,000",-,-,부산시 강서구 명지동 일반상가,일반상가6층
743,744,명지동,매매,-,-,455.4,30억,-,-,부산시 강서구 명지동,대
744,745,명지동,매매,323,137,-,8억,-,-,부산시 강서구 명지동 복합상가,복합상가2층
745,746,명지동,매매,-,-,297,"8억 1,000",-,-,부산시 강서구 명지동,대
746,747,명지동,매매,-,-,803.9,"48억 6,000",-,-,부산시 강서구 명지동,대
747,748,명지동,매매,317.45,179.73,-,"3억 9,000",-,-,부산시 강서구 명지동 일반상가,일반상가9층
748,749,명지동,매매,-,-,407,22억,-,-,부산시 강서구 명지동,대
749,750,명지동,매매,445.26,445.26,-,11억,-,-,부산시 강서구 명지동 일반상가,일반상가9층
750,751,명지동,매매,229,137.98,-,"4억 5,000",-,-,부산시 강서구 명지동 일반상가,일반상가2층
751,752,명지동,매매,428.74,266.5,-,"8억 6,500",-,-,부산시 강서구 명지동 일반상가,일반상가3층
752,753,명지동,매매,177.57,131.48,-,"3억 5,000",-,-,부산시 강서구 명지동 일반상가,일반상가4층
753,754,명지동,매매,344.46,196.08,-,"5억 5,000",-,-,부산시 강서구 명지동 일반상가,일반상가9층
754,755,명지동,매매,186.21,156.09,-,"4억 3,000",-,-,부산시 강서구 명지동 일반상가,일반상가5층
755,756,명지동,매매,250.52,156.09,-,"4억 3,000",-,-,부산시 강서구 명지동 일반상가,일반상가5층
756,757,명지동,매매,204.35,119.34,-,"2억 5,000",-,-,부산시 강서구 명지동 대형사무실,대형사무실7층
757,758,명지동,매매,-,-,760.3,23억,-,-,부산시 강서구 명지동,대
758,759,명지동,매매,-,-,171,"2억 1,000",-,-,부산시 강서구 명지동 전,전
759,760,명지동,매매,-,-,171,"2억 1,000",-,-,부산시 강서구 명지동 전,전
760,761,명지동,매매,-,-,171,"2억 1,000",-,-,부산시 강서구 명지동 전,전
761,762,명지동,매매,-,-,803.9,"48억 6,000",-,-,부산시 강서구 명지동,대
762,763,명지동,매매,-,-,241,8억,-,-,부산시 강서구 명지동,대
763,764,명지동,매매,-,-,301,"7억 7,000",-,-,부산시 강서구 명지동,대
764,765,명지동,매매,240.3,149.7,-,"3억 9,987",-,-,부산시 강서구 명지동 일반상가 대산골든스퀘어,일반상가 대산골든스퀘어9층
765,766,명지동,매매,-,-,1089,94억,-,-,부산시 강서구 명지동,대
766,767,명지동,매매,766.9,479.3,-,"14억 4,300",-,-,부산시 강서구 명지동 일반상가 대산골든스퀘어,일반상가 대산골든스퀘어9층
767,768,명지동,매매,-,-,1632.3,92억,-,-,부산시 강서구 명지동,대
768,769,명지동,매매,-,-,7232,140억,-,-,부산시 강서구 명지동,대
769,770,명지동,매매,-,-,407,22억,-,-,부산시 강서구 명지동,대
770,771,명지동,매매,-,-,718.6,"46억 5,000",-,-,부산시 강서구 명지동,대
771,772,명지동,매매,-,-,956,42억,-,-,부산시 강서구 명지동,대
772,773,명지동,매매,-,-,282,"7억 5,000",-,-,부산시 강서구 명지동,대
773,774,명지동,매매,-,-,7232,140억,-,-,부산시 강서구 명지동,대
774,775,명지동,매매,407.97,246.86,-,9억,-,-,부산시 강서구 명지동 일반상가,일반상가9층
775,776,명지동,매매,-,-,455.4,30억,-,-,부산시 강서구 명지동,대
776,777,명지동,매매,393.39,135.54,-,"14억 4,000",-,-,부산시 강서구 명지동 일반사무실,일반사무실2층
777,778,명지동,매매,-,-,1623.3,92억,-,-,부산시 강서구 명지동,대
778,779,명지동,매매,-,-,1335,"80억 8,000",-,-,부산시 강서구 명지동,대
779,780,명지동,매매,174.07,105,-,"2억 1,900",-,-,부산시 강서구 명지동 일반상가,일반상가4층
780,781,명지동,매매,-,-,1589.3,97억,-,-,부산시 강서구 명지동,대
781,782,명지동,매매,200,143,-,10억,-,-,부산시 강서구 명지동 일반상가 명지국제타워,일반상가 명지국제타워2층
782,783,명지동,매매,-,-,2222,57억,-,-,부산시 강서구 명지동,대
783,784,명지동,매매,174,105,-,"2억 1,900",-,-,부산시 강서구 명지동 일반상가,일반상가4층
784,785,명지동,매매,-,-,339.5,"10억 3,000",-,-,부산시 강서구 명지동,대
785,786,명지동,매매,184.76,105,-,7억,-,-,부산시 강서구 명지동 일반상가,일반상가7층
786,787,명지동,매매,-,-,2895,260억,-,-,부산시 강서구 명지동,대
787,788,명지동,매매,174,105,-,"2억 1,000",-,-,부산시 강서구 명지동 일반상가,일반상가8층
788,789,명지동,매매,-,-,1322.32,45억,-,-,부산시 강서구 명지동 답,답
789,790,명지동,매매,173.9,104.9,-,"4억 5,000",-,-,부산시 강서구 명지동 일반상가 에코팰리스,일반상가 에코팰리스2층
790,791,명지동,매매,-,-,300,"9억 5,000",-,-,부산시 강서구 명지동,대
791,792,명지동,매매,300,140.25,-,"4억 5,000",-,-,부산시 강서구 명지동 일반상가,일반상가2층
792,793,명지동,매매,-,-,718.6,"46억 5,000",-,-,부산시 강서구 명지동,대
793,794,명지동,매매,-,-,7232,140억,-,-,부산시 강서구 명지동,대
794,795,명지동,매매,-,-,261,"6억 7,000",-,-,부산시 강서구 명지동,대
795,796,성북동,매매,-,-,879.0,4억,0,0,부산시 강서구 성북동,대
796,797,성북동,매매,-,-,10645.0,17억,0,0,부산시 강서구 성북동 임야,임야
797,798,성북동,매매,-,-,10645.0,17억,0,0,부산시 강서구 성북동 임야,임야
798,799,성북동,매매,-,-,6148.99,"3억 7,260",0,0,부산시 강서구 성북동 임야,임야
799,800,성북동,매매,-,-,542.0,"4억 1,000",0,0,부산시 강서구 성북동 전,전
800,801,성북동,매매,-,-,1051.24,"3억 1,800",0,0,부산시 강서구 성북동 전,전
801,802,천성동,매매,-,-,721,10억,0,0,부산시 강서구 천성동 전,전
802,803,천성동,매매,-,-,721,10억,0,0,부산시 강서구 천성동 전,전
803,804,천성동,매매,-,-,1741,20억,0,0,부산시 강서구 천성동 임야,임야
804,805,천성동,매매,-,-,1741,20억,0,0,부산시 강서구 천성동 임야,임야
805,806,천성동,매매,-,-,1741,20억,0,0,부산시 강서구 천성동 임야,임야
806,807,천성동,매매,-,-,10056,35억,0,0,부산시 강서구 천성동 전,전
807,808,천성동,매매,-,-,617,6억,0,0,부산시 강서구 천성동 전,전
808,809,천성동,매매,-,-,387,"3억 6,000",0,0,부산시 강서구 천성동 답,답
809,810,천성동,매매,-,-,387,"3억 6,000",0,0,부산시 강서구 천성동 답,답
810,811,천성동,매매,-,-,721,10억,0,0,부산시 강서구 천성동 전,전
811,812,송정동,매매,-,-,598,"1억 1,000",-,-,부산시 강서구 송정동 전,전
812,813,송정동,매매,-,-,645,"1억 1,000",-,-,부산시 강서구 송정동 전,전
813,814,송정동,매매,-,-,5344,42억,-,-,부산시 강서구 송정동 염전,염전
814,815,송정동,매매,-,-,4959,"52억 5,000",-,-,부산시 강서구 송정동 공장용지,공장용지
815,816,송정동,월세,-,-,1372.9,-,5000,500,부산시 강서구 송정동,대
816,817,송정동,매매,-,-,6597,200억,-,-,부산시 강서구 송정동,대
817,818,송정동,매매,-,-,1597.2,"31억 5,000",-,-,부산시 강서구 송정동,대
818,819,송정동,매매,-,-,25786,450억,-,-,부산시 강서구 송정동 전,전
819,820,송정동,매매,-,-,28525,450억,-,-,부산시 강서구 송정동 전,전
820,821,송정동,매매,-,-,4960,60억,-,-,부산시 강서구 송정동 공장용지,공장용지
821,822,송정동,월세,1000,118,-,-,1000,90,부산시 강서구 송정동 일반상가,일반상가1층
822,823,송정동,월세,1000,118,-,-,1000,90,부산시 강서구 송정동 일반상가,일반상가1층
823,824,송정동,월세,1000,118,-,-,1000,90,부산시 강서구 송정동 일반상가,일반상가1층
824,825,송정동,매매,-,-,4959,"52억 5,000",-,-,부산시 강서구 송정동 공장용지,공장용지
825,826,송정동,매매,-,-,1652.9,35억,-,-,부산시 강서구 송정동,대
826,827,송정동,월세,-,-,1620,-,5000,490,부산시 강서구 송정동,대
827,828,송정동,매매,-,-,5306,13억,-,-,부산시 강서구 송정동 답,답
828,829,송정동,매매,-,-,1007,"7억 6,200",-,-,부산시 강서구 송정동,대
829,830,송정동,매매,-,-,1596.7,"33억 8,100",-,-,부산시 강서구 송정동,대
830,831,송정동,매매,-,-,5344,42억,-,-,부산시 강서구 송정동 염전,염전
