선사코드,선사명,접안시간,출항시간,체류시간,체류시간_day,체류시간_time,체류시간_totalTime(시간),상태
HLC,PRAGUE EXPRESS,2015-04-09 20:10,2015-04-10 16:00,0 days 19:50:00,0,19,19,DEPARTED
APL,ASIA IPSA,2015-04-09 22:00,2015-04-10 9:00,0 days 11:00:00,0,11,11,DEPARTED
SKR,HAN SE,2015-04-10 1:00,2015-04-10 5:00,0 days 04:00:00,0,4,4,DEPARTED
CKL,SKY DUKE,2015-04-10 11:10,2015-04-10 16:00,0 days 04:50:00,0,4,4,DEPARTED
BLA,KATRIN S,2015-04-10 13:40,2015-04-11 7:00,0 days 17:20:00,0,17,17,DEPARTED
MAE,HANSA MAGDEBURG,2015-04-10 16:00,2015-04-11 0:00,0 days 08:00:00,0,8,8,DEPARTED
DJS,DONGJIN TOKUYAMA,2015-04-10 18:40,2015-04-10 22:00,0 days 03:20:00,0,3,3,DEPARTED
MAE,SEA-LAND MERCURY,2015-04-10 21:10,2015-04-11 6:00,0 days 08:50:00,0,8,8,DEPARTED
MSC,MSC CHICAGO,2015-04-11 13:00,2015-04-11 20:00,0 days 07:00:00,0,7,7,DEPARTED
APL,APL CHINA,2015-04-11 14:00,2015-04-12 0:00,0 days 10:00:00,0,10,10,DEPARTED
MAE,SINE MAERSK,2015-04-12 0:00,2015-04-13 3:00,1 days 03:00:00,1,3,27,DEPARTED
HMM,HYUNDAI SHANGHAI,2015-04-12 1:10,2015-04-12 18:00,0 days 16:50:00,0,16,16,DEPARTED
SKR,SINOKOR ULSAN,2015-04-12 2:00,2015-04-12 5:00,0 days 03:00:00,0,3,3,DEPARTED
APL,COLOMBO SKX,2015-04-12 6:00,2015-04-12 13:00,0 days 07:00:00,0,7,7,DEPARTED
SKR,HAN PO,2015-04-12 8:20,2015-04-12 12:30,0 days 04:10:00,0,4,4,DEPARTED
NYK,NYK ROMULUS,2015-04-12 15:10,2015-04-13 18:00,1 days 02:50:00,1,2,26,DEPARTED
OOL,OOCL ROTTERDAM,2015-04-12 22:20,2015-04-13 17:00,0 days 18:40:00,0,18,18,DEPARTED
ZIM,ZIM ONTARIO,2015-04-13 16:15,2015-04-14 4:00,0 days 11:45:00,0,11,11,DEPARTED
SKR,PU HAI,2015-04-13 20:10,2015-04-14 0:00,0 days 03:50:00,0,3,3,DEPARTED
MAE,MAERSK SENTOSA,2015-04-13 21:10,2015-04-14 6:00,0 days 08:50:00,0,8,8,DEPARTED
NYK,NYK LYRA,2015-04-14 6:00,2015-04-15 0:00,0 days 18:00:00,0,18,18,DEPARTED
MAE,MAGLEBY MAERSK,2015-04-14 6:30,2015-04-15 10:00,1 days 03:30:00,1,3,27,DEPARTED
HAS,NOVA JST1,2015-04-14 9:10,2015-04-14 12:00,0 days 02:50:00,0,2,2,DEPARTED
APL,APL COLUMBUS,2015-04-15 2:00,2015-04-15 16:00,0 days 14:00:00,0,14,14,DEPARTED
HLC,HALIFAX EXPRESS,2015-04-15 12:20,2015-04-16 5:00,0 days 16:40:00,0,16,16,DEPARTED
BLA,HANJIN MUNDRA,2015-04-15 14:00,2015-04-16 14:00,1 days 00:00:00,1,0,24,DEPARTED
OOL,ANNETTE-S NPS,2015-04-15 18:00,2015-04-16 2:00,0 days 08:00:00,0,8,8,DEPARTED
APL,COLOMBO SKX,2015-04-16 6:00,2015-04-16 16:00,0 days 10:00:00,0,10,10,DEPARTED
HAS,NOVA JST1,2015-04-16 8:00,2015-04-16 13:00,0 days 05:00:00,0,5,5,DEPARTED
APL,APL PHILIPPINES,2015-04-16 9:00,2015-04-16 23:00,0 days 14:00:00,0,14,14,DEPARTED
SKR,SINOKOR INCHEON,2015-04-16 15:00,2015-04-16 20:00,0 days 05:00:00,0,5,5,DEPARTED
APL,CAPE FULMAR,2015-04-16 15:10,2015-04-17 3:00,0 days 11:50:00,0,11,11,DEPARTED
OOL,OOCL LUXEMBOURG,2015-04-16 21:00,2015-04-17 17:00,0 days 20:00:00,0,20,20,DEPARTED
SKR,HAN SE,2015-04-17 1:00,2015-04-17 5:00,0 days 04:00:00,0,4,4,DEPARTED
DJS,DONGJIN TOKUYAMA,2015-04-17 3:40,2015-04-17 5:00,0 days 01:20:00,0,1,1,DEPARTED
CKL,SKY DUKE,2015-04-17 6:05,2015-04-17 9:00,0 days 02:55:00,0,2,2,DEPARTED
BLA,KATRIN S,2015-04-17 10:40,2015-04-18 14:00,1 days 03:20:00,1,3,27,DEPARTED
MAE,SEA-LAND COMET,2015-04-17 12:20,2015-04-18 1:00,0 days 12:40:00,0,12,12,DEPARTED
NYK,JULIETTE RICKMERS,2015-04-18 10:00,2015-04-20 0:00,1 days 14:00:00,1,14,38,DEPARTED
SKR,SINOKOR ULSAN,2015-04-18 11:10,2015-04-18 16:00,0 days 04:50:00,0,4,4,DEPARTED
